run_id,step,val_loss,train_time_ms,attn_gate,learning_rate
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,375,4.3436,153674,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,500,4.1139,206230,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,625,4.002,259310,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,750,3.9441,311573,elementwise,0.0036
d993a5e9-4f6f-4d37-9cf9-69cad3c7c6ee,800,3.9358,333214,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,0,16.0015,238,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,125,5.5702,48611,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,250,4.7273,101938,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,375,4.3291,154953,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,500,4.1092,208251,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,625,3.9993,262390,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,750,3.9421,315850,elementwise,0.0036
3458f808-91cc-48ad-8766-71bac05af837,800,3.9339,338148,elementwise,0.0036
14441a65-4184-4442-b603-076b7aa602da,0,16.0092,234,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,125,5.5487,47969,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,250,4.7013,100471,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,375,4.3081,152735,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,500,4.0889,205178,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,625,3.979,258129,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,750,3.921,310273,elementwise,0.00396
14441a65-4184-4442-b603-076b7aa602da,800,3.9126,331873,elementwise,0.00396
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,0,16.0277,244,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,125,5.5442,45240,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,250,4.6944,94928,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,375,4.2763,144285,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,500,4.0836,193854,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,625,3.9809,243404,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,750,3.9255,292698,none,0.0036
24f7a02e-917a-4a5b-a8f7-4ddd4ca00501,800,3.9174,313247,none,0.0036
04a67a75-7b75-4500-a17c-9a7560cada69,0,16.0297,229,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,125,5.4579,45207,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,250,4.627,94750,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,375,4.2108,144231,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,500,4.0305,194750,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,625,3.9297,244950,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,750,3.8731,294171,none,0.00468
04a67a75-7b75-4500-a17c-9a7560cada69,800,3.8645,314678,none,0.00468
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,0,16.0015,257,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,125,5.5388,48588,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,250,4.6958,101358,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,375,4.2949,153682,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,500,4.0845,206230,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,625,3.9763,259234,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,750,3.9187,311505,elementwise,0.00396
36e47063-ca0e-4acf-bf92-cb13b4fcc2db,800,3.9104,333115,elementwise,0.00396
cec6cdfe-25a8-4749-b95d-aae2758fab0d,0,16.0015,319,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,125,5.4764,48599,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,250,4.6458,101820,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,375,4.2419,154760,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,500,4.0451,207997,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,625,3.9392,261852,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,750,3.881,314723,elementwise,0.00468
cec6cdfe-25a8-4749-b95d-aae2758fab0d,800,3.8724,336608,elementwise,0.00468
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,0,16.0277,236,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,125,5.4974,45292,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,250,4.6436,94923,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,375,4.2302,144270,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,500,4.0472,193806,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,625,3.9457,243331,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,750,3.8893,292568,none,0.00432
8ff7c4ee-5ad1-4b08-9d89-add459dbdf58,800,3.8808,313024,none,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,0,16.0015,245,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,125,5.5093,47958,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,250,4.6704,100518,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,375,4.2676,152742,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,500,4.0645,205223,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,625,3.9574,258358,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,750,3.8997,310496,elementwise,0.00432
a3470b8c-e2f6-4195-9c15-a8aae49e86ad,800,3.8912,332186,elementwise,0.00432
24afcab1-5288-45a0-b563-d6a988ebcdb6,0,16.0277,245,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,125,5.4582,45286,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,250,4.6218,97515,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,375,4.2094,146817,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,500,4.0307,196299,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,625,3.9292,245826,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,750,3.8722,295078,none,0.00468
24afcab1-5288-45a0-b563-d6a988ebcdb6,800,3.8635,315935,none,0.00468
